# angles | wait | zero
[75.05, 81.82, 73.62, 81.18, 78.23, 44.76, 19.56, 52.08] | 2 | 180
[78.70, 50.44, 85.02, 40.67, 88.63, 82.61, 12.17, 89.60] | 2 | 180
[74.66, 74.01, 57.39, 41.34, 74.66, 74.01, 57.39, 41.34] | 2 | 180
[49.32, 80.66, 67.83, 50.39, 49.32, 80.67, 67.82, 50.40] | 2 | 180
[29.31, 76.52, 68.78, 76.52, 29.31, 76.52, 68.78, 76.52] | 2 | 180
[53.82, 44.98, 71.69, 76.76, 53.82, 44.98, 71.69, 76.76] | 2 | 180
[80.36, 22.15, 62.42, 65.56, 80.33, 22.26, 62.38, 65.55] | 2 | 180
[87.48, 43.14, 78.00, 54.60, 75.13, 88.71, 5.60, 80.04] | 2 | 180
[74.66, 74.01, 57.39, 41.34, 74.66, 74.01, 57.39, 41.34] | 2 | 180
[49.32, 80.66, 67.83, 50.39, 49.32, 80.67, 67.82, 50.40] | 2 | 180
[28.10, 79.08, 67.20, 79.08, 28.12, 79.08, 67.20, 79.08] | 2 | 180
[53.82, 44.98, 71.69, 76.76, 53.82, 44.98, 71.69, 76.76] | 2 | 180
[82.27, 34.21, 66.77, 67.86, 82.28, 34.20, 66.78, 67.86] | 2 | 180
[64.58, 82.02, 35.77, 82.89, 63.23, 88.86, 16.59, 88.01] | 2 | 180
[77.49, 71.53, 52.17, 54.57, 71.61, 82.63, 3.13, 80.45] | 2 | 180
[89.66, 65.13, 69.59, 60.92, 12.97, 89.40, 51.85, 68.54] | 2 | 180
[87.84, 74.96, 64.15, 34.46, 89.94, 24.18, 66.42, 74.74] | 2 | 180
[81.23, 87.69, 66.06, 29.21, 76.93, 22.95, 67.29, 87.57] | 2 | 180
[82.24, 81.90, 85.49, 51.14, 39.25, 39.12, 53.10, 89.68] | 2 | 180
[85.96, 77.36, 88.69, 53.72, 44.31, 41.86, 45.64, 78.35] | 2 | 180
[87.13, 79.20, 65.85, 68.99, 58.96, 49.13, 38.41, 53.22] | 2 | 180
[77.36, 84.67, 59.65, 52.76, 81.84, 40.75, 54.47, 51.32] | 2 | 180
[81.17, 76.82, 71.60, 34.87, 79.44, 57.32, 76.53, 28.50] | 2 | 180
[61.67, 83.21, 54.95, 48.88, 61.77, 83.01, 55.20, 48.77] | 2 | 180
[79.44, 57.32, 76.53, 28.50, 81.17, 76.82, 71.60, 34.87] | 2 | 180
[81.84, 40.75, 54.47, 51.32, 77.36, 84.67, 59.65, 52.76] | 2 | 180
[58.96, 49.13, 38.41, 53.22, 87.13, 79.20, 65.85, 68.99] | 2 | 180
[44.31, 41.86, 45.64, 78.35, 85.96, 77.36, 88.69, 53.72] | 2 | 180
[39.25, 39.12, 53.10, 89.68, 82.24, 81.90, 85.49, 51.14] | 2 | 180
[50.69, 37.32, 68.85, 86.27, 81.28, 86.19, 69.62, 34.32] | 2 | 180
[39.25, 51.14, 85.49, 81.90, 82.24, 89.68, 53.10, 39.12] | 2 | 180
[44.31, 53.72, 88.69, 77.36, 85.96, 78.35, 45.64, 41.86] | 2 | 180
[58.96, 68.99, 65.85, 79.20, 87.13, 53.22, 38.41, 49.13] | 2 | 180
[81.84, 52.76, 59.65, 84.67, 77.36, 51.32, 54.47, 40.75] | 2 | 180
[79.44, 34.87, 71.60, 76.82, 81.17, 28.50, 76.53, 57.32] | 2 | 180
[71.66, 35.96, 65.63, 74.05, 71.66, 35.96, 65.63, 74.05] | 2 | 180
[81.17, 28.50, 76.53, 57.32, 79.44, 34.87, 71.60, 76.82] | 2 | 180
[77.36, 51.32, 54.47, 40.74, 81.84, 52.76, 59.65, 84.67] | 2 | 180
[87.13, 53.22, 38.41, 49.13, 58.96, 68.99, 65.85, 79.20] | 2 | 180
[85.96, 78.35, 45.64, 41.86, 44.31, 53.72, 88.69, 77.36] | 2 | 180
[82.24, 89.68, 53.10, 39.12, 39.25, 51.14, 85.49, 81.90] | 2 | 180
[81.37, 87.66, 68.77, 1.57, 85.46, 26.09, 66.19, 87.90] | 2 | 180
[64.58, 82.02, 35.77, 82.89, 63.23, 88.86, 16.59, 88.01] | 2 | 180
